Event ID,Artist,Genres,Date,Venue,City,State,Capacity,Number of Songs
00001,Two Door Cinema Club,"indie, pop, rock",03-10-2024,Marathon Music Works,Nashville,TN,,22
00002,Two Door Cinema Club,"indie, pop, rock",02-10-2024,Everwise Amphitheater at White River State Park,Indianapolis,IN,"6,000",23
00003,Two Door Cinema Club,"indie, pop, rock",01-10-2024,The Sylvee,Madison,WI,,23
00004,Two Door Cinema Club,"indie, pop, rock",29-09-2024,Fillmore Minneapolis,Minneapolis,MN,,24
00005,Two Door Cinema Club,"indie, pop, rock",28-09-2024,Starlight Theater,Kansas City,MO,,24
00006,Two Door Cinema Club,"indie, pop, rock",26-09-2024,Moody Amphitheater,Austin,TX,"9,400",24
00007,Two Door Cinema Club,"indie, pop, rock",25-09-2024,The Plaza Theatre Performing Arts Center,El Paso,TX,,24
00008,Two Door Cinema Club,"indie, pop, rock",24-09-2024,Arizona Financial Theatre,Phoenix,AZ,"5,000",10
00009,Two Door Cinema Club,"indie, pop, rock",22-09-2024,House of Blues,Houston,TX,"22,309",23
00010,Two Door Cinema Club,"indie, pop, rock",21-09-2024,Petco Park,San Diego,CA,"16,100",23
00011,Two Door Cinema Club,"indie, pop, rock",19-09-2024,YouTube Theater,Inglewood,CA,"6,000",22
00012,Two Door Cinema Club,"indie, pop, rock",17-09-2024,Masonic Auditorium,San Francisco,CA,,23
00013,Two Door Cinema Club,"indie, pop, rock",15-09-2024,Hayden Homes Amphitheater,Bend,OR,"8,000",23
00014,Two Door Cinema Club,"indie, pop, rock",14-09-2024,WaMu Theater,Seattle,WA,"17,459",23
00015,Two Door Cinema Club,"indie, pop, rock",04-08-2024,Grant Park,Chicago,IL,,16
00016,Two Door Cinema Club,"indie, pop, rock",03-08-2024,Metro,Chicago,IL,,23
00017,Two Door Cinema Club,"indie, pop, rock",29-07-2024,Artpark Amphitheater,Lewiston,NY,,23
00018,Two Door Cinema Club,"indie, pop, rock",28-07-2024,Leader Bank Pavilion,Boston,MA,"5,200",23
00019,Two Door Cinema Club,"indie, pop, rock",27-07-2024,Pier Six Concert Pavilion,Baltimore,MD,,23
00020,Two Door Cinema Club,"indie, pop, rock",26-07-2024,The Stone Pony Summer Stage,Asbury Park,NJ,"4,500",24
00021,Two Door Cinema Club,"indie, pop, rock",24-07-2024,The Rooftop at Pier 17,New York City,NY,"3,500",16
00022,Two Door Cinema Club,"indie, pop, rock",23-07-2024,The Rooftop at Pier 17,New York City,NY,"3,500",24
00023,Two Door Cinema Club,"indie, pop, rock",20-07-2024,Red Hat Amphitheater,Raleigh,NC,"5,990",21
00024,Two Door Cinema Club,"indie, pop, rock",19-07-2024,Rabbit Rabbit,Asheville,NC,,10
00025,Two Door Cinema Club,"indie, pop, rock",17-07-2024,Daily's Place Amphitheater,Jacksonville,FL,,22
00026,Two Door Cinema Club,"indie, pop, rock",16-07-2024,FPL Solar Amphitheater at Bayfront Park,Miami,FL,,22
00027,Two Door Cinema Club,"indie, pop, rock",14-07-2024,House of Blues,Houston,TX,"22,309",23
00028,Two Door Cinema Club,"indie, pop, rock",13-07-2024,Coca-Cola Roxy,Atlanta,GA,,23
00029,Two Door Cinema Club,"indie, pop, rock",30-05-2024,Stubb's Bar-B-Q,Austin,TX,,10
00030,Two Door Cinema Club,"indie, pop, rock",29-05-2024,The Lawn at White Oak,Houston,TX,,23
00031,Two Door Cinema Club,"indie, pop, rock",28-05-2024,South Side Ballroom,Dallas,TX,"4,300",12
00032,Two Door Cinema Club,"indie, pop, rock",27-05-2024,Cain's Ballroom,Tulsa,OK,"1,800",23
00033,Two Door Cinema Club,"indie, pop, rock",25-05-2024,Mission Ballroom,Denver,CO,"3,900",23
