Number,Artist,Genres,Date,Venue,City,State,Capacity,Number of Songs
1,Two Door Cinema Club,"indie, pop, rock",03-10-2024,Marathon Music Works,Nashville,TN,null,22
2,Two Door Cinema Club,"indie, pop, rock",02-10-2024,Everwise Amphitheater at White River State Park,Indianapolis,IN,"6,000",23
3,Two Door Cinema Club,"indie, pop, rock",01-10-2024,The Sylvee,Madison,WI,null,23
4,Two Door Cinema Club,"indie, pop, rock",29-09-2024,Fillmore Minneapolis,Minneapolis,MN,null,24
5,Two Door Cinema Club,"indie, pop, rock",28-09-2024,Starlight Theater,Kansas City,MO,null,24
6,Two Door Cinema Club,"indie, pop, rock",26-09-2024,Moody Amphitheater,Austin,TX,"9,400",24
7,Two Door Cinema Club,"indie, pop, rock",25-09-2024,The Plaza Theatre Performing Arts Center,El Paso,TX,null,24
8,Two Door Cinema Club,"indie, pop, rock",24-09-2024,Arizona Financial Theatre,Phoenix,AZ,"5,000",10
9,Two Door Cinema Club,"indie, pop, rock",22-09-2024,House of Blues,Houston,TX,"22,309",23
10,Two Door Cinema Club,"indie, pop, rock",21-09-2024,Petco Park,San Diego,CA,"16,100",23
11,Two Door Cinema Club,"indie, pop, rock",19-09-2024,YouTube Theater,Inglewood,CA,"6,000",22
12,Two Door Cinema Club,"indie, pop, rock",17-09-2024,Masonic Auditorium,San Francisco,CA,null,23
13,Two Door Cinema Club,"indie, pop, rock",15-09-2024,Hayden Homes Amphitheater,Bend,OR,"8,000",23
14,Two Door Cinema Club,"indie, pop, rock",14-09-2024,WaMu Theater,Seattle,WA,"17,459",23
15,Two Door Cinema Club,"indie, pop, rock",04-08-2024,Grant Park,Chicago,IL,null,16
16,Two Door Cinema Club,"indie, pop, rock",03-08-2024,Metro,Chicago,IL,null,23
17,Two Door Cinema Club,"indie, pop, rock",29-07-2024,Artpark Amphitheater,Lewiston,NY,null,23
18,Two Door Cinema Club,"indie, pop, rock",28-07-2024,Leader Bank Pavilion,Boston,MA,"5,200",23
19,Two Door Cinema Club,"indie, pop, rock",27-07-2024,Pier Six Concert Pavilion,Baltimore,MD,null,23
20,Two Door Cinema Club,"indie, pop, rock",26-07-2024,The Stone Pony Summer Stage,Asbury Park,NJ,"4,500",24
